ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),Armor (no enchants),DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,10,11,Price,ITEM NAME,PARENT,TOOLTIP
Bound Flesh,340,C,B,A,Yes,20,"""Roughly patched together segments of corpse flesh form this morbid cape. The flesh itself is embodied with dark magic, thus preventing decay and providing a good deal of protection.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Shroud,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,Basket of Bones,Heaps of Husks,Evil Tear,,,Obsidian,,,1000,Bound Flesh,Shroud,
Boneweave Manteau,254,C,B,A,Yes,20,"""This manteau has been woven with a strange thread made out of bone. How bones were processed into this form remains a secret and it may be best if it remains so. The result of weaving a manteau with this horror inspiring material is a lightweight, yet sturdy piece of armor that can withstand heavy blows from even the most heroic do gooder.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Shroud,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,Basket of Bones,Mound of Abhorrent Flesh,Venomous Kwiksilver,,,Malachite,,,1000,Boneweave Manteau,Shroud,
Haunted Spirits,308,C,B,A,Yes,23,"""This consolidation of spirits has been bound to this plane for unknown reasons. They cannot do more but concentrate themselves in this piece of armor and constantly spin and twirl around the armor, desperate to find a way to be released from their curse, but to no avail.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Accursed Shroud,,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,,Violent Essence,Diamond,,,1000,Haunted Spirits,Accursed Shroud,
Gravemaker Coat,340,C,B,A,Yes,23,"""The stench of death emanates from every thread of this morbid item of clothing. The coat is caked in ages old dirt, and is frayed around the edges.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Bound Flesh,,Heaps of Husks,Heaps of Husks,Heaps of Husks,Evil Tear,Evil Tear,,Flesh Equation,Aquamarine,,,1000,Gravemaker Coat,Bound Flesh,
Corpsemaster's Cassock,254,C,B,A,Yes,23,"""This cassock is imbued with brilliant green runes that radiate occult magic. Said to have been obtained from an ancient necropolis, this cassock will make pretty much any corpse respond to the corpse master's bidding, even if it is to take a mortal blow or two.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Boneweave Manteau,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Venomous Kwiksilver,Venomous Kwiksilver,,Dragon Essence,Gold Bar,,,1000,Corpsemaster's Cassock,Boneweave Manteau,
Demonic Illusions,308,C,B,A,Yes,26,"""This crimson robe reflects illusions of the more vile and deadly demons ever known across the lands. These demons terrify the wearer’s foes, allowing him more time to focus on offensive spells.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Haunted Spirits,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,Shroud of Fear,Violent Essence,Violent Essence,Mithril,,,1000,Demonic Illusions,Haunted Spirits,
Deathly Voices,340,C,B,A,Yes,26,"""Made from similar material to a funeral shroud, the voices of the long departed seem to whisper from the beyond with every movement this heavy cloak makes.""",Using the materials you've gathered you craft together a new piece of armor!,CataCrafts,Gravemaker Coat,Heaps of Husks,Heaps of Husks,Heaps of Husks,Evil Tear,Evil Tear,Evil Tear,Flesh Equation,Flesh Equation,Liriumite,,,1000,Deathly Voices,Gravemaker Coat,
Re-animator Vestments,254,C,B,A,Yes,26,"""This crisp white laboratory coat seems to be old and well worn. There are stains on the cuffs from hitherto unknown potions formulated most likely in a mad lab. A name-tag above the breast pocket reads H. West in black embroidery.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Corpsemaster's Cassock,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Dragon Essence,Dragon Essence,Cerussite,,,1000,Re-animator Vestments,Corpsemaster's Cassock,
,,,,,,,,,,,,,,,,,,,,,,,,,
Torn Leather Armor,4,C,D,A,Yes,1,"""This leather is torn and slashed and hardly useful for protection. Only Sorcerors are unable to wear this.""",,,,,,,,,,,,,,,50,Torn Leather Armor,,
Leather Armor,4,C,D,A,Yes,20,"""The leather armor is thick and of good construction. It should withstand most average blows.""",Using the materials you've gathered you craft together a new piece of armor!,,Torn Leather Armor,Jug of Greenskin Glue,,,,,,,,,,,50,Leather Armor,Torn Leather Armor,
Padded Leather Armor,4,C,D,A,Yes,22,"""The padded armor is thick, but uncomfortable. It should withstand most light blows.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,,,,,,,,,,100,Padded Leather Armor,Leather Armor,
Jerkin,4,C,D,A,Yes,28,"""A light vest made of tanned leather. It’s stylish and offers some light protection.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Padded Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,,,,,,Amethyst,,,250,Jerkin,Padded Leather Armor,
Novelist Tailcoat,105,C,Bard,A,Yes,35,"""A gentleman bards first suit. Pressed and flattened to a dignified and rather regal air, the novelist tailcoat is best worn when presenting noble poetry before the fanfare of a wealthy audience.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Parceled Seed Sprouts,Spirit of the North Star,,,Obsidian,,,1000,Novelist Tailcoat,Jerkin,
Drudged Waistcoat,4,C,D,A,Yes,33,"""This waistcoat, while once beautiful, is now so dirt stained that its near impossible to tell its original color. The protective padding is still intact however, providing a bit of protection from stray attacks.""",Using the materials you've gathered you craft together a new piece of armor!,MorduArmor,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Satchel of Chess Pieces,Tormented Spirit,,,Malachite,,,1000,Drudged Waistcoat,Jerkin,
Briar Thread Jerkin,272,C,D,A,Yes,33,"""Made from padded leather sewn together with the fibrous stems of bramble plants, this protective vest can deflect most blows without restricting movement.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Ironwood Burden,Crystalline Shard,,,Pearl,,,1000,Briar Thread Jerkin,Jerkin,
Prosaic Verse,269,C,Bard,A,Yes,37,"""Woven from fine silken thread and embroidered with golden musical notes around the sleeves, this fine suit provides excellent protection without distracting from a young bard’s ability to amaze their audience with song and verse.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Novelist Tailcoat,,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,,Scarab Hive,Aquamarine,,,1000,Prosaic Verse,Novelist Tailcoat,
Bandit's Overcoat,271,C,D,A,Yes,35,"""This finely tailored coat is reinforced with a hardy padding, affording greater protection. The pockets have been extended to provide more space for holding stolen gold.""",Using the materials you've gathered you craft together a new piece of armor!,FreelanceArmor,Drudged Waistcoat,,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Tormented Spirit,Tormented Spirit,,Flesh Equation,Gold Bar,,,1000,Bandit's Overcoat,Drudged Waistcoat,
Chartreuse Jerkin,270,C,D,A,Yes,35,"""The Chartreuse leather jerkin is dyed a brilliant green color with natural pigments. The armor carries the earthly aroma from the forest itself. It proves excellent for blending into Syndar’s foliage while you stalk your prey.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Briar Thread Jerkin,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Crystalline Shard,Crystalline Shard,,Flesh Equation,Sapphire,,,1000,Chartreuse Jerkin,Briar Thread Jerkin,
Romantic Tales,367,C,Bard,A,Yes,39,"""Heart inspiring stories of love won, lost, and won again. Often harrowing adventures involving a powerful protagonist of lore and his love interest, a damsel in distress. A hero can learn a lot from such things and forge himself in such virtues.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Prosaic Verse,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Scarab Hive,Scarab Hive,Cerussite,,,1000,Romantic Tales,Prosaic Verse,
Mercenary Trenchcoat,336,C,D,A,Yes,37,"""This leather coat reaches nearly to the wearers knees and includes many hidden pockets for the secretive transportation of stolen goods and gold. Heavily padded where protection is needed, surely wearing this coat is both fashionable and practical.""",Using the materials you've gathered you craft together a new piece of armor!,OasisCrafts,Bandit's Overcoat,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Tormented Spirit,Tormented Spirit,Tormented Spirit,Flesh Equation,Flesh Equation,Naqri ,,,1000,Mercenary Trenchcoat,Bandit's Overcoat,
Meritorious Surcoat,269,C,D,A,Yes,37,"""This coat is both decorative and protective, its front lined with intricately designed silver buttons and padding sewn to the inside to protect the wearer from attacks to their person. It is also highly resistant to staining, a true blessing during those late nights in the tavern.""",Using the materials you've gathered you craft together a new piece of armor!,CastleCrafts,Chartreuse Jerkin,Ironwood Burden,Ironwood Burden,Ironwood Burden,Crystalline Shard,Crystalline Shard,Crystalline Shard,Flesh Equation,Flesh Equation,Mithril,,,1000,Meritorious Surcoat,Chartreuse Jerkin,
Chain Mail,5,C,D,A,Yes,28,"""The chain mail is made of tiny rings of metal. It is very solid and should withstand a major blow.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Padded Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,,,,,,Topaz,,,1000,Chain Mail,Padded Leather Armor,
Maleficient Chainmail,106,C,Assassin,A,Yes,33,"""Crudely made blackened-steel chains sewn to a darkly cured leather shirt, the chain mail exudes a fearsome aura that should be avoided at all costs. Inevitably, it will corrupt the mind of the wearer as dreadful thoughts enter the mind and heart.""",Using the materials you've gathered you craft together a new piece of armor!,SlayerCrafts,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Mound of Abhorrent Flesh,Evil Tear,,,Amber,,,1000,Maleficient Chainmail,Chain Mail,
Rogue's Chain,168,C,Thief,A,Yes,34,"""Lightweight mail made from a mesh of small steel rings. Designed with young thieves in mind, the mail is sewn to a lightly padded leather vest to reduce unnecessary clinking.""",Using the materials you've gathered you craft together a new piece of armor!,BrigandCrafts,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Mithril Stockpile,Heatwave,,,Garnet,,,1000,Rogue's Chain,Chain Mail,
Ancient Chain Mail,106,C,D,A,Yes,33,"""Very old but amazingly well-preserved, this ancient chain armor has been restored to its former glory by most renowned blacksmiths in Syndar. The brilliancy in these chains has returned to their previous glory. Only its make proves its age.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Satchel of Chess Pieces,Enigmatic Karma,,,Obsidian,,,1000,Ancient Chain Mail,Chain Mail,
Nefarious Chains,106,C,Assassin,A,Yes,35,"""These heavy chains appear dull even under the midday sun. The chain draws all the dark energies the wearer might bear on mind and poisons their souls to become equally as black without any hint of light.""",Using the materials you've gathered you craft together a new piece of armor!,SlayerCrafts,Maleficient Chainmail,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,,Flesh Equation,Turquoise,,,1000,Nefarious Chains,Maleficient Chainmail,
Cuirass of the Thief,168,C,Thief,A,Yes,36,"""Made of two layers of padded leather with lightweight chain mail in between, this cuirass can deflect most blows without hindering the freedom of movement needed for proper thieving.""",Using the materials you've gathered you craft together a new piece of armor!,BrigandCrafts,Rogue's Chain,,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Heatwave,Heatwave,,Violent Essence,Diamond,,,1000,Cuirass of the Thief,Rogue's Chain,
Archaic Hauberk,5,C,D,A,Yes,35,"""An old chain shirt. This hauberk reaches the wearers knees and includes full sleeves, protecting the many important arteries in the arms.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Ancient Chain Mail,,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Enigmatic Karma,Enigmatic Karma,,Infinite Puzzle,Aquamarine,,,1000,Archaic Hauberk,Ancient Chain Mail,
Chains of Deadly Sins,106,C,Assassin,A,Yes,37,"""Wonderfully crafted chain mail that is blacker than the hour before sunrise. These chains will absorbing any light that touch them, rather than reflecting it like normal metals. The voices of Syndar’s damned seem to whisper to you through some magical channel imbued in its metal.""",Using the materials you've gathered you craft together a new piece of armor!,SlayerCrafts,Nefarious Chains,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,Evil Tear,Flesh Equation,Flesh Equation,Liriumite,,,1000,Chains of Deadly Sins,Nefarious Chains,
Brigadier's Hauberk,339,C,Thief,A,Yes,38,"""A shirt of chain mail reaching to about mid-thigh, this hauberk is heavier around the shoulders and chest, providing more protection to the more vital organs without being too heavy. The mail itself is sewn between two heavily padded leather shirts, giving the thief wearing it the ease of movement and whisper silence needed for their craft.""",Using the materials you've gathered you craft together a new piece of armor!,BrigandCrafts,Cuirass of the Thief,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Heatwave,Heatwave,Heatwave,Violent Essence,Violent Essence,Cerussite,,,1000,Brigadier's Hauberk,Cuirass of the Thief,
Aeonian Chains,120,C,D,A,Yes,37,"""This beautiful mithril armor seems frozen in time, despite the many centuries that have passed since its forging. It is said these chains come from the very chains that hold the universe together...  Not a speck of rust nor a single dent marks its perfection in the slightest.""",Using the materials you've gathered you craft together a new piece of armor!,CrystalCrafts,Archaic Hauberk,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Enigmatic Karma,Enigmatic Karma,Enigmatic Karma,Infinite Puzzle,Infinite Puzzle,Naqri ,,,1000,Aeonian Chains,Archaic Hauberk,
Leather Vest,4,C,D,A,Yes,28,"""A simple vest made of tanned leather.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Padded Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Furs,,,,,,Emerald,,,1000,Leather Vest,Padded Leather Armor,
Dracolisk Leathers,270,C,Druid,A,Yes,33,"""The thick hide from a once formidable dracolisk has been cured and fashioned into a sturdy set of armor. It fits snugly and allows a greater degree of movement than a heavy set of chains.""",Using the materials you've gathered you craft together a new piece of armor!,ElderCrafts,Leather Vest,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Furs,Bundle of Furs,Dragon Soul Pack,Bone Dust,,,Malachite,,,1000,Dracolisk Leathers,Leather Vest,
Thorn Thicket Vest,4,C,Ranger,A,Yes,35,"""Made from hard cured leather to give the appearance and functionality of thorns, this vest can turn attacks from both swords and most small wilderness predators.""",Using the materials you've gathered you craft together a new piece of armor!,StalkerCrafts,Leather Vest,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Furs,Bundle of Furs,Wings of Glory,Venomous Kwiksilver,,,Pearl,,,1000,Thorn Thicket Vest,Leather Vest,
