Room Number,Room Title,Area Type,"Line 7 ""Special""",City Name,Room Enter,Room Description,Gfx,Exit Room N,Exit Room W,Exit Room E,Exit Room S,Exit Room U,Exit Room D,Outside,Light Needed,ToMake
15544,Enlightened Forge,City,Craft,PriestCrafts,You are in the Enlightened Forge. The room exits [3south[6.,"This Forge is beyond heavenly. A large glowing anvil fashioned to look like a cross sits in the center of the room. Several blessed tools can be found lightly sprinkled with Holy Aura. The walls of this structure are painted with protective runes, the floor is made of ivory stone's. The smell of Holy Aura and sulphur can be smelled throughout the room. The room exits [3south[6.",52,,,,13413,,,No,No,1
15545,Shifters Forge,City,Craft,ElderCrafts,You are in Shifters Forge. The room exits [3east[6.,"The Shifter's Forge is quite a sight to see. The walls are painted in tiger print, the floor made of carpet grass. There are several make-shift anvils around the room. Tools for crafting can be found on various tree stumps around the room. The room exits [3east[6.",52,,,13419,,,,No,No,1
15546,Meatshield Forge,City,Craft,GuardianCrafts,You are in Meatshield Forge. The room exits [3north[6.,The sounds of hammers can be heard throughout the forge. The Smell of burning metal wafts into your nostrils. Four anvils can be found here one in each corner of the room. Several Very well made Crafting tools can be found at each crafting station. The room exits [3north[6.,52,13415,,,,,,No,No,1
15547,Crane Landing Forge,City,Craft,NinjaCrafts1,You are in Crane Landing Forge. The room exits [3west[6.,"This forge is very average looking. A smelter, a bamboo table, and an anvil are in front of you. As you let your eyes glance around you see several other ninja's working on their crafts. Several crafting tools hang in a very neat manner on a board with hook's fashioned out of straw. The room exits [3west[6.",17,,13407,,,,,No,No,1
15548,Crane Landing Forge Back Room,City,Craft,NinjaCrafts2,You are in Crane Landing Forge back room. The room exits [3north[6.,"This forge is very average looking. A smelter, a bamboo table, and an anvil are in front of you. As you let your eyes glance around you see several other ninja's working on their crafts. Several crafting tools hang in a very neat manner on a board with hook's fashioned out of straw. The room exits [3north[6.",17,13407,,,,,,No,No,1
15549,Rage Quality Crafts,City,Craft,BerserkerCrafts,You are in Rage Quality Crafts. The room exits [3west[6.,"You are in a cylindrical shaped room. The walls are burnt orange in color, the floor is dirt. Sounds of clanging and banging echo through the room. The smell of iron ore melting in a smelter can be smelled here. There is a decent sized smelter in the center of the room, with some smaller anvils circling it. Tool's for crafting can be found lying around here and there. So pick [3up[6some tools and get crafting! The room exits [3west[6.",17,,13410,,,,,No,No,1
15550,Forge of the Hand,City,Craft,BrigandCrafts,You are in The Forge of the Hand. The room exits [3west[6.,Watch out! There are traps everywhere to keep outisders out. An anvil fashioned out of pure steel is found here with very eloquent looking tools placed in a golden chest next to it on the floor. Jewels adorn the walls so heavily that if the room was painted you would not even be able to tell. Burly guards are posted on each side of the entry to the room. The room exits [3west[6.,176,,1907,,,,,No,No,1
15551,Barracks Smithy,City,Craft,CavalierCrafts,You are in Barracks Smithy. The room exits [3south[6.,"Soldiers fashioning their weapons, and armor can be seen here. The sounds of sparring can be heard outside the large open window to your right. Several open crafting stations with large anvils and leather working racks can be found at each station.  The room exits [3south[6.",17,,,,13430,,,No,No,1
15552,The Sacred Song,City,Craft,MinstrelCrafts,You are in the Sacred Song. The room exits [3west[6.,This forge is of glorious design. A large Cleft Note shaped anvil has room for several crafters at one time. There is a large oak tree to the right of the cleft construct. A woodworking station sits just behind this tree. The room exits [3west[6.,52,,18402,,,,,No,No,1
15553,Blood Forge,City,Craft,SlayerCrafts,You are in the Blood Forge. The room exits [3east[6.,"Cobblestone walls surround this open air forge. Atop a circular platform adorned in runes stands the pride of the Blood Forge. A smelter painted with the blood of the slayer guilds enemies, a large anvil forged from the bones of several humans, and animals alike can be found to the left of the Smelter construct. Several tools fashioned from humanoid femurs can be found laying on a large oak table to the right of the anvil. The room exits [3east[6.",176,,,13404,,,,No,No,1
13816,Forestia Craft Shop,City,Craft,Forestia8, You find yourself in Forestia's Craft Shop. There's an exit to the [3west[6.,The stuffy shop smells of fused metals and various solvents. A wide array of half finished projects and oddly amalgamated weapons lay on shelves while some truly impressive finished products are displayed on a long granite counter before you. This is the place where all great blacksmiths and alchemists come to study the art of the magical fire and its ability to forge unheard of items of power. There is no better place to learn the skills of crafting than inside this very room. There's an exit to the [3west[6.,211,,13813,,,,,No,No,1
15554,Treasure Shop,City,Equipment Shoppe,JewelsTH,You are inside the treasure shop. There's an exit to the [3north[6.,"This shop is one of few in the realms which will purchase any gems you find. This shop also seems popular, perhaps there is more to this town than you see. An appraiser with a magnifying glass scrutinizes gems for flaws and value. There's an exit to the [3north[6.",11,638,,,,,,No,No,1
15555,Treasure Shop,City,Equipment Shoppe,JewelsMordu,You are inside the treasure shop. There's an exit to the [3north[6.,"This shop is one of few in the realms which will purchase any gems you find. This shop also seems popular, perhaps there is more to this town than you see. An appraiser with a magnifying glass scrutinizes gems for flaws and value. There's an exit to the [3north[6.",11,15517,,,,,,No,No,1
